trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
122,0.5,5,148.995891,149.4949679,149.4949679,149.5115079,149.7955694,left,-5,0,0,0.5109288,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
123,0.5,5.5,150.0282578,150.5288594,150.5288594,150.5288594,150.8287958,left,-5.5,0,0,0.4004725,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
124,0.5,6,150.9455054,151.4442789,151.4442789,151.4442789,151.7454075,left,-6,0,0,0.3743244,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
125,0.5,6.5,151.8455869,152.3442641,152.3442641,152.3442641,152.6447229,left,-6.5,0,0,0.4599121,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
126,0.5,7,152.8283684,153.327917,153.327917,153.327917,153.6284486,left,-7,1,1,0.7543562,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
127,0.5,7,154.1104453,154.6121973,154.6121973,154.6121973,154.9110586,right,7,1,1,0.3608116,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
128,0.5,7,154.994069,155.4943602,155.4943602,155.4943602,155.7942805,right,7,1,1,0.4600237,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
129,0.5,6.5,155.9780156,156.4771093,156.4771093,156.4771093,156.7776968,left,-6.5,1,1,0.585951,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
130,0.5,6.5,157.0939485,157.5937917,157.5937917,157.5937917,157.8945442,left,-6.5,1,1,0.4381883,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
131,0.5,6.5,158.0611339,158.5591555,158.5591555,158.577663,158.8604172,right,6.5,1,1,0.5769164,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
